JobId,SkillId
2022,7
2029,78
2047,89
2054,10
2107,69
2107,14
2107,16
2144,75
2186,69
2438,85
2438,12
2444,5
2479,2
2479,16
2518,5
2522,15
2564,2
2564,70
2590,69
2600,69
2600,4
2600,89
2617,14
2627,79
2680,19
2791,2
2791,16
2792,14
2901,15
2901,5
3004,69
3104,14
3105,46
3190,5
3247,69
3313,10
3314,10
3316,69
3316,15
3473,10
3557,69
3585,2
3585,16
3636,69
3655,69
3656,69
3721,15
3722,69
3749,5
3751,69
3753,5
3772,69
3772,71
3798,2
3798,70
3832,5
3846,69
3858,5
3860,5
3863,70
3881,46
3886,46
3903,79
3916,69
3919,10
3930,6
3933,6
3933,5
3942,69
3944,79
3953,70
3957,5
